video_id,subtitle,physical_tags,desc_A,desc_B,label,label_letter
samplenew3_00089438,Nie Zongzhu wouldn't believe it either.,"[Acoustic Prosody] Voice energy=0.0194, Pitch var=14722.58, Sharpness=1442.6Hz, Speed=6.07b/s. | [Facial Micro-movements] Brow Lowerer(peak:1.00), Upper Lid Raiser(peak:1.00), Lip Tightener(peak:1.00) | [Macro Emotion Base] fear(max_prob:0.82), surprise(max_prob:0.70)","In the text, the subtitle reads, ""Even Lord Nie wouldn't believe it."" This sentence is likely spoken by the man in the video. Based on the audio clue describing a slight tremor in the individual's voice and the tone indicating feeling overwhelmed or under significant pressure, as well as the video clue of the man's serious expression and composed demeanor, we can infer that this sentence may carry a tone of incredulity or surprise. Therefore, this sentence is likely the man's reaction to a certain situation or event, expressing his disbelief or astonishment towards Lord Nie, aligning with his overall serious and focused emotion.","In the video, a young Asian man's furrowed brows and normal-toned speech suggest a mix of emotions, but his words, ""Lord Nie wouldn't believe it either,"" imply a sense of disappointment, possibly even despair. His tone and facial expression convey resignation and hopelessness, indicating feelings of sadness.",Prefer B,B
samplenew3_00027078,Due to the kindness of Empress Chunyuan.,"[Acoustic Prosody] Voice energy=0.0475, Pitch var=4220.25, Sharpness=1893.6Hz, Speed=7.02b/s. | [Facial Micro-movements] Inner Brow Raiser(peak:1.00), Outer Brow Raiser(peak:1.00), Brow Lowerer(peak:1.00) | [Macro Emotion Base] sadness(max_prob:0.90), neutral(max_prob:0.47)","In the text, the subtitle content ""Due to the kindness of Empress Chunyuan"" is likely a comment or description of the woman. Based on the calm and composed expression of the woman in the video clues, as well as the characteristics of the individual's voice being high-pitched, clear in tone, and fast in speech rate in the audio clues, we can infer that this sentence is likely praising the woman's tranquility and inner peace, and attributing it to her kind qualities. Therefore, this sentence aligns with the overall display of tranquility and positive emotions by the woman.","In the video, Empress Chunyuan's facial expression is characterized by lowered eyebrows, indicating concern or distress. Her words, ""For the sake of mercy,"" suggest a sense of resignation or sorrow.",Prefer B,B
samplenew3_00012685,I really like the current me.,"[Acoustic Prosody] Voice energy=0.0210, Pitch var=7746.47, Sharpness=1920.4Hz, Speed=6.75b/s. | [Facial Micro-movements] Inner Brow Raiser(peak:1.00), Outer Brow Raiser(peak:1.00), Brow Lowerer(peak:1.00) | [Macro Emotion Base] neutral(max_prob:0.99), disgust(max_prob:0.72)","In the text, the caption reads: ""I really like myself now."" This phrase might be a woman's self-assessment or introspection. Given the audio clues, such as a high-pitched voice with clear intonation, and the video clues showing the woman in deep thought, focused, or melancholic, we can infer that this statement likely represents a positive evaluation or affirmation of herself. She might be reflectinging on her growth or transformation, and being content and fond of who she is now. This alignss with the woman's mixed emotions displayed in the video, suggesting she she is contemplating her past and future.","In the video, a young woman sits at a desk, displaying a facial expression characterized by lowered eyebrows. Her tone and intonation convey a fearful emotion, and her words ""I really like who I am now"" suggest a sense of anxiety or apprehension.",Prefer A,A
samplenew3_00032104,"Oh my, how can there be all kinds of people?","[Acoustic Prosody] Voice energy=0.0206, Pitch var=12558.87, Sharpness=1792.9Hz, Speed=5.10b/s. | [Facial Micro-movements] Outer Brow Raiser(peak:1.00), Brow Lowerer(peak:1.00), Upper Lid Raiser(peak:1.00) | [Macro Emotion Base] happiness(max_prob:0.93), disgust(max_prob:0.84)","In the video, a man sits in front of a computer, displaying a toothy smile with cheek dimples, accompanied by a cheerful tone and intonation. This suggests a strong sense of emotional,his saying,""Oh, there are people and people in the world."",show he is surprised to something.","In the text, the caption reads: ""Hey, there are all kinds of people here."" This sentence might be a reaction from a man to his surroundings or a particular situation. Given the tone of frustration and annoyance conveyed through the audio cues, as well as the man's's furrowed brow in the video, we can infer that the sentence may carry an undertone of dissatisfaction or bewilderment. Therefore, this sentence could be a way for the man to express his dissatisfaction or bewilderment towards his surroundings or a certain situation, which would align with the man's's overall conflicting emotions.",Prefer B,B
samplenew3_00032155,"Understood, obeyed.","[Acoustic Prosody] Voice energy=0.0022, Pitch var=8640.47, Sharpness=1399.6Hz, Speed=3.04b/s. | [Facial Micro-movements] Inner Brow Raiser(peak:1.00), Outer Brow Raiser(peak:1.00), Brow Lowerer(peak:1.00) | [Macro Emotion Base] sadness(max_prob:0.99), neutral(max_prob:0.84)","In the video, the man's facial expressions, including a lowered brow and slight frown, suggest emotional distress. His tone and intonation are normal, but his words lack enthusiasm or conviction, implying resignation or obligation.","In the text, the caption reads: ""Understood, as ordered."" This sentence could be a man's response to some command or request. Given the audio clues that describe the man's's voice trembling, his tone tense, and the video clues showing the man displaying serious and focused emotions, we can infer that this statement might carry a sense of tension or pressure. The man might feel anxious and depressed, making an effort to control his emotions, but still obeys the instruction.",Prefer B,B
samplenew3_00022854,我就是瞧不上齐平那轻狂的样子,"[Acoustic Prosody] Voice energy=0.0713, Pitch var=6203.89, Sharpness=2360.3Hz, Speed=7.45b/s. | [Facial Micro-movements] Inner Brow Raiser(peak:1.00), Outer Brow Raiser(peak:1.00), Brow Lowerer(peak:1.00) | [Macro Emotion Base] neutral(max_prob:0.98), fear(max_prob:0.97)","In the video, a young woman displays a facial expression characterized by furrowed brows, tightened eyelids, and a lifted chin, typical indicators of anger or frustration. Her tone remains neutral, but her statement implies a strong negative opinion, likely the source of her anger.","In the text, caption content: ""I just can't stand Qi Ping's arrogant demeanor."" This sentence might be an evaluation or reaction from the speaker towards Qi Ping. Given the audio clues with the speaker's having a monotonous voice without any emotion and the video clues showing the woman expressing positive emotions and friendly facial expressions, we cannot accurately determine the specific emotional state of the speaker. However, considering the negative evaluation in the caption content and the tone in which the speaker attempts to conceal or suppress their own emotions, we can infer that this sentence might carry a sense of dissatisfaction or aversion. Therefore, this sentence might indicate the speakerer's's disapproval or discontent towards Qi Ping's arrogant behavior or attitude.",Prefer B,B
samplenew3_00039226,Why be so polite?,"[Acoustic Prosody] Voice energy=0.0277, Pitch var=28955.24, Sharpness=1750.1Hz, Speed=6.55b/s. | [Facial Micro-movements] Inner Brow Raiser(peak:1.00), Outer Brow Raiser(peak:1.00), Brow Lowerer(peak:1.00) | [Macro Emotion Base] surprise(max_prob:0.97), happiness(max_prob:0.92)","In the video, a man sits on a couch in a cozy setting, with a facial expression characterized by an Upper Lip Raiser, indicating mild surprise or skepticism. His tone and intonation remain neutral, without emotional inflections. His comment, ""Why be so polite,"" suggests a matter-of-fact or philosophical tone.","In the text, the subtitle content ""Why be so polite?"" is a response from the man to someone or something. Based on the description of the individual's voice changes and negative emotions in the audio clues, as well as the surprise and joy expressed by the man in the video clues, we can infer that this statement may have a sarcastic or mocking tone. The man may be responding to someone's excessive politeness or affected behavior in a humorous or lighthearted way to express his viewpoint. Therefore, this statement may be a form of teasing or joking expression that aligns with the overall cheerful mood displayed by the man.",Prefer B,B
samplenew3_00089397,"Sure enough, as I expected, this time it's Cao Aman.","[Acoustic Prosody] Voice energy=0.0137, Pitch var=3392.84, Sharpness=1855.9Hz, Speed=5.12b/s. | [Facial Micro-movements] Inner Brow Raiser(peak:1.00), Brow Lowerer(peak:1.00), Upper Lid Raiser(peak:1.00) | [Macro Emotion Base] sadness(max_prob:0.96), happiness(max_prob:0.90)","In the video, a man with a beard has a facial expression characterized by a dimpler, indicating satisfaction and contentment. His tone and intonation sound natural, suggesting a relaxed atmosphere. His statement implies a sense of accomplishment or confirmation, often accompanied by feelings of happiness.","In the text, the caption reads: ""As expected, this time it's Cao Aman."" This sentence might be spoken by a male from Asia in a video. Based on the audio cues where describe the individual speaking with clarity and brevity, a confident and firm tone that allows them to control their emotions, as well as his serious expression and dark setting in the video clues, we can infer that the statement might come across with a sense of confidence and certainty. Therefore, this sentence could be an expression of affirmation and pride for a situation or his own judgment by the Asian man.",Prefer B,B
samplenew3_00042808,"It's me, sorry big brother.","[Acoustic Prosody] Voice energy=0.0127, Pitch var=3197.27, Sharpness=1837.1Hz, Speed=6.62b/s. | [Facial Micro-movements] Inner Brow Raiser(peak:1.00), Outer Brow Raiser(peak:1.00), Brow Lowerer(peak:1.00) | [Macro Emotion Base] anger(max_prob:0.83), sadness(max_prob:0.71)","In the video, the Asian actor displays a serious and somber expression, characterized by furrowed brows and a raised eyebrow. His tone is bitter, and he utters the words, ""Yes, I'm sorry, big brother."" This combination of facial expressions and verbal cues suggests a deep sense of regret, apology, and possibly even shame, indicating a profound sense of sadness.","In the text, the caption reads: ""It's my fault, big brother."" This sentence could be a man's's apology or admission of guilt to someone else. Given the audio cues, the individual's voice is described as sharp and agitated, accompanied by rapid speech and urgency, which suggests that this expression is laden with feelings of remorse or regret. The man's's facial expressions and body language align with these emotions; his eyebrows are furrowed, his mouth is open, conveying a mix of anger and frustration. Therefore, this sentence might be the man expressing his guilt over an event or action to someone, and apologizing or acknowledging his wrongdoing.",Prefer B,B
samplenew3_00052977,"Hello, hello, hello, why are there so many people here?","[Acoustic Prosody] Voice energy=0.0382, Pitch var=7703.65, Sharpness=1977.9Hz, Speed=7.31b/s. | [Facial Micro-movements] Inner Brow Raiser(peak:1.00), Outer Brow Raiser(peak:1.00), Brow Lowerer(peak:1.00) | [Macro Emotion Base] surprise(max_prob:0.97), happiness(max_prob:0.92)","In the video, the person stands in front of a door, displaying a surprised facial expression with lifted upper eyelids and a wide mouth. Her tone and intonation sound natural, but her repeated ""hello"" and question ""Why are there so many people"" suggest astonishment.","In the text, caption content: ""Hello hello hello, why are there so many people?"" This sentence could be a response or inquiry from a female to the crowd around her in a corridor. Based on the personal high pitch and excited tone described in the audio clues, as well as the serious and anxious emotional state shown by the woman in the video clues, we can infer that the sentence might carry an anxious or uneasy tone. Therefore, this sentence might be the female expressing her state of unease and concern when faced with a crowd, conveying her emotions.",Prefer B,B
